date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:53%20GMT	http://oklumi.com/cdn/shop/t/1/assets/collapsible-content.css?v=42068948719489434321690949757	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/collapsible-content191c.css	(from https://oklumi.com/products/oklumi-projector)
11:02:53	1300171/1300171	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Mar%202024%2018:38:37%20GMT	https://oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV_jpg.png?v=1691261078&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV_jpg35d2.png	(from https://oklumi.com/products/oklumi-projector)
11:02:53	2339/2339	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Mar%202024%2022:34:17%20GMT	https://oklumi.com/cdn/shop/t/1/assets/collapsible-content.css?v=42068948719489434321690949757	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/collapsible-content191c.css	(from https://oklumi.com/products/oklumi-projector)
11:02:54	98/98	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:d35052e89dae2106f30ee46b40e30f36%22	https://oklumi.com/pages/modules/chunk.common_a0168284.esm.js	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/pages/modules/chunk.common_a0168284.esm.js	(from https://oklumi.com/pages/contact)
11:02:55	141357/141357	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:abac50787cc2776b731e61d13994fb41%22	https://oklumi.com/pages/POST	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/pages/POST	(from https://oklumi.com/pages/contact)
11:02:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:56%20GMT	http://oklumi.com/cdn/shop/t/1/assets/section-main-page.css?v=848677459125201531690949786	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/section-main-page478e.css	(from https://oklumi.com/pages/contact)
11:02:56	305/305	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Mar%202024%2003:55:45%20GMT	https://oklumi.com/cdn/shop/t/1/assets/section-main-page.css?v=848677459125201531690949786	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/section-main-page478e.css	(from https://oklumi.com/pages/contact)
11:02:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:57%20GMT	http://oklumi.com/cdn/shop/t/1/assets/section-contact-form.css?v=124756058432495035521690949783	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/section-contact-form2fa2.css	(from https://oklumi.com/pages/contact)
11:02:56	562/562	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:14:55%20GMT	https://oklumi.com/cdn/shop/t/1/assets/section-contact-form.css?v=124756058432495035521690949783	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/section-contact-form2fa2.css	(from https://oklumi.com/pages/contact)
11:02:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:57%20GMT	http://oklumi.com/cdn/shop/t/1/assets/component-cart.css?v=150915052884658833881690949760	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/component-cart1ff7.css	(from https://oklumi.com/cart)
